Publication,Date,Returns,Price,Open,High,Low,Vol.,Change %,econTsentiment,econBsentiment,econSusentiment,econEntsentiment,econVerbtsentiment,econAdjtsentiment,econAdverbtsentiment,econStoptsentiment,econBigtsentiment,econUnigtsentiment,econTrigtsentiment,SimAverageSent
The Economist,10/26/2023,0.0319,"7,662.05","7,516.50","7,741.33","7,384.45",4.03,3.19%,1,1,1,1,1,1,5,5,4,1,1,2
The Economist,10/25/2023,-0.0708,"7,424.97","8,035.83","8,084.44","7,424.97",3.57,-7.08%,1,1,1,1,1,1,5,5,2,1,2,1.954545455
The Economist,10/24/2023,0.031,"7,990.42","7,797.07","8,014.81","7,765.50",4,3.10%,1,1,1,4,3,3,4,1,1,2,1,1.954545455
The Economist,10/23/2023,0.0319,"7,750.39","7,649.39","7,794.54","7,520.13",3.19,3.19%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,10/20/2023,-0.0333,"7,510.68","7,691.02","7,711.16","7,446.97",3.24,-3.33%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,10/19/2023,-0.0094,"7,769.03","7,868.00","7,971.39","7,728.43",3.09,-0.94%,1,2,2,1,1,5,2,5,3,3,3,2.272727273
The Economist,10/18/2023,-0.0336,"7,842.66","7,964.63","8,015.26","7,836.99",2.92,-3.36%,3,1,1,1,1,5,2,5,2,1,2,2.363636364
The Economist,10/17/2023,0.0227,"8,115.01","7,962.60","8,115.01","7,908.13",3.28,2.27%,1,1,1,4,3,3,4,1,1,2,1,2.090909091
The Economist,10/16/2023,-0.022,"7,934.56","8,228.49","8,252.32","7,926.64",3.52,-2.20%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,10/13/2023,-0.0177,"8,113.30","8,242.29","8,242.29","8,071.51",3.28,-1.77%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,10/12/2023,-0.0086,"8,259.27","8,440.54","8,471.11","8,054.64",4.83,-0.86%,1,1,1,1,1,5,2,5,2,3,3,2.136363636
The Economist,10/11/2023,-0.0133,"8,330.64","8,482.37","8,518.86","8,315.70",4.04,-1.33%,1,1,1,4,3,3,4,1,1,2,1,2.136363636
The Economist,10/10/2023,0.0304,"8,442.79","8,304.81","8,450.83","8,304.81",4.4,3.04%,1,4,4,1,1,1,5,5,2,2,2,2.272727273
The Economist,10/9/2023,-0.0321,"8,193.44","8,300.69","8,383.53","8,193.44",4.37,-3.21%,5,1,1,3,1,5,5,5,2,2,2,2.727272727
The Economist,10/6/2023,-0.0027,"8,464.93","8,410.25","8,516.77","8,397.55",4.54,-0.27%,2,2,2,1,1,5,5,5,2,2,2,2.772727273
The Economist,10/5/2023,0.0186,"8,487.98","8,386.33","8,496.42","8,179.93",5.89,1.86%,1,2,2,1,1,1,2,5,1,1,1,2.136363636
The Economist,10/4/2023,-0.0212,"8,333.14","8,523.74","8,533.49","8,329.02",5.14,-2.12%,5,1,1,1,1,5,5,5,2,1,2,2.136363636
The Economist,10/3/2023,0.0031,"8,513.54","8,547.39","8,562.70","8,462.03",4.89,0.31%,1,1,1,1,1,5,4,5,2,2,2,2.454545455
The Economist,10/2/2023,0.0182,"8,486.96","8,374.60","8,511.61","8,367.26",4.98,1.82%,1,1,1,4,3,3,4,1,1,2,1,2.136363636
The Economist,9/29/2023,0.0141,"8,334.94","8,239.09","8,379.44","8,239.09",4.68,1.41%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,9/28/2023,0.0006,"8,218.74","8,235.79","8,288.48","8,187.96",4.13,0.06%,1,2,2,1,1,5,2,5,1,1,1,2
The Economist,9/27/2023,-0.0035,"8,213.76","8,275.14","8,298.65","8,170.89",4.43,-0.35%,1,2,2,1,1,1,5,5,2,2,3,2.136363636
The Economist,9/26/2023,-0.0075,"8,242.26","8,368.51","8,389.68","8,240.83",5.97,-0.75%,1,1,1,4,3,3,4,1,1,2,1,2.136363636
The Economist,9/25/2023,0.033,"8,304.83","8,105.36","8,311.16","8,096.95",4.86,3.30%,5,3,3,3,1,2,5,5,1,1,1,2.363636364
The Economist,9/22/2023,0.0048,"8,039.18","8,035.05","8,094.03","7,981.23",4.19,0.48%,1,1,1,4,3,3,4,1,1,2,1,2.363636364
The Economist,9/21/2023,0.0364,"8,000.46","7,714.90","8,000.46","7,663.90",4.39,3.64%,2,2,2,1,1,5,2,5,1,1,1,2.045454545
The Economist,9/20/2023,-0.0082,"7,719.82","7,834.91","7,897.82","7,706.40",3.83,-0.82%,1,1,1,4,3,3,4,1,1,2,1,2.045454545
The Economist,9/19/2023,0.0135,"7,784.01","7,696.77","7,804.05","7,644.68",3.5,1.35%,5,4,4,1,1,5,5,5,2,1,2,2.590909091
The Economist,9/18/2023,-0.0354,"7,680.36","7,952.42","7,952.42","7,678.83",3.61,-3.54%,1,1,1,4,3,3,4,1,1,2,1,2.590909091
The Economist,9/15/2023,-0.0193,"7,961.98","8,128.49","8,139.34","7,961.98",4.24,-1.93%,1,1,1,4,3,3,4,1,1,2,1,2
The Economist,9/14/2023,0.0131,"8,118.75","8,035.70","8,118.75","7,797.06",4.4,1.31%,1,2,2,4,1,1,5,5,2,2,2,2.227272727
The Economist,9/13/2023,-0.0179,"8,013.89","8,184.04","8,235.96","7,977.69",4.57,-1.79%,1,3,3,5,5,5,5,5,1,2,4,3
The Economist,9/12/2023,0.0016,"8,159.90","8,174.99","8,276.17","8,081.34",4.73,0.16%,1,1,1,4,3,3,4,1,1,2,1,2.772727273
