Publication,Date,Title,Body,Summary,,,,,,,,
The New York Times,1/2/2015,No breaking news to report today,No significant updates to report,No noteworthy summary for today,,,,,,,,
The New York Times,1/5/2015,Club Med Shares Fall as Battle for Resort Operator Ends,Andrea C Bonomi an Italian businessman who had been battling for control of the vacation resort operator conceded to his rival the Chinese conglomerate Fosun InternationalPARIS Shares of Club Mditerrane fell on Monday after an Italian businessman who had been battling for control of the vacation resort operator conceded to his rival the Chinese conglomerate Fosun International,Mergers Acquisitions and Divestitures Travel and Vacations Bonomi Andrea C Club Mediterranee SA Fosun International Global Resorts SAS Kohlberg Kravis Roberts  Co China France,,,,,,,,
The New York Times,1/6/2015,Moving Videos Between Mac and Android Gadgets,Plus how to track system updates on a Windows tabletMoving Videos,Biersdorfer J D Mac OS Operating System Android Operating System Windows Operating System Tablet Computers Smartphones Mobile Applications Dropbox Inc,,,,,,,,
The New York Times,1/7/2015,There is no available news today,Today there is no publication in this section,No noteworthy summary for today,,,,,,,,
The New York Times,1/8/2015,Top Bankers in Europe Making Big Bonuses According to Latest Data  Carlyle Hires Information Chief From T Rowe Price,Figures recently released show that Goldman Sachs paid on average  million to  people classified as material risk takers in LONDON The public is getting its annual peek at the top earners in Europe at major banks  Georgette Kiser will be Carlyle chief information officer a managing director and a member of the firm management committeeThe Carlyle Group has hired a former T Rowe Price executive Georgette Kiser to run its information technology operations,Banking and Financial Institutions Bonuses Regulation and Deregulation of Industry Barclays PLC Citigroup Inc European Banking Authority Goldman Sachs Group Inc JPMorgan Chase  Company Prudential Regulation Authority Great Britain Europe Great Britain  Appointments and Executive Changes Kiser Georgette Carlyle Group LP T Rowe Price Group Inc,,,,,,,,
The New York Times,1/9/2015,A Proxy Fight as Much About Nelson Peltz Firm as About DuPont,Flexing muscle sends a message to other stubborn targets like PepsiCo writes Kevin Allison of Reuters Breakingviews It also gives Mr Peltz potential successors at Trian experience in the trenchesNelson Peltz latest proxy fight will resonate beyond its immediate target DuPont The billionaire activist Trian Partners is seeking four director seats at the venerable chemicals group its first public battle since squeezing onto Heinz board nine years ago Flexing muscle sends a message to other stubborn targets like PepsiCo It also gives Mr Peltz potential successors experience in the trenches,Boards of Directors Chemicals Shareholder Rights and Activism May Peter Peltz Nelson DuPont Co Pepsico Inc Trian Fund Management LP,,,,,,,,
The New York Times,1/12/2015,For Jimmy Lai Hong Kong Rebellious Tycoon Next Battle May Be in Court  Shire Gambles AbbVie Breakup Fee on a Risky Deal,In the aftermath of democracy demonstrations in Hong Kong Mr Lai faces perhaps his greatest test which could have bigger repercussions for the cityHONG KONG Jimmy Lai Hong Kong most fiercely antiCommunist tycoon calls himself a rebel who likes to make trouble and he has found no shortage of it  Shire is paying a  percent premium for NPS and it is making a potentially risky deal ahead of an important regulatory ruling Neil Unmack of Reuters Breakingviews writesShire is gambling its AbbVie breakup fee on risky MA,News and News Media Lai Jimmy Hong Kong Demonstrations Protests and Riots Freedom of the Press Next Media Ltd Occupy Central Democracy Theory and Philosophy  Drugs Pharmaceuticals Mergers Acquisitions and Divestitures Ornskov Flemming Food and Drug Administration Shire PLC,,,,,,,,
The New York Times,1/13/2015,SP Nears Settlement With Justice Dept Over Inflated Ratings  Instacart a Grocery Delivery StartUp Raises  Million,On television and in the courtroom the credit rating agency has waged war against a Justice Dept lawsuit But behind the scenes it wants nothing more than to buy peaceOn television and in the courtroom Standard  Poor has waged war against a Justice Department lawsuit But behind the scenes the giant bondrating agency wants nothing more than to buy peace  The company is part of the socalled ondemand economy startup companies that let customers order anything food cars alcohol and have it delivered directly to their homes in hoursIn the world according to venture capitalists our daily lives will soon become a lot more convenient,Banking and Financial Institutions Credit Ratings and Credit Rating Agencies Fines Penalties Securities and Commodities Violations Subprime Mortgage Crisis Suits and Litigation Civil Justice Department Standard  Poors Corp  Delivery Services Supermarkets and Grocery Stores Venture Capital Mehta Apoorva Instacart Whole Foods Market Inc,,,,,,,,
The New York Times,1/14/2015,Study Finds Local Taxes Hit Lower Wage Earners Harder  Devil May Be in the Details on European Central Bank BondBuying  Need Help From the IRS It May Take More Patience This Year,An analysis by the Institute on Taxation and Economic Policy ranked states by tax burden and concluded that the poorest have the biggest burden in local taxesWhen it comes to the taxes closest to home the less you earn the harder youre hit  A widely expected stimulus program will be a test of whether the institution and its president can walk a fine political line and show their resolveFRANKFURT A court opinion issued on Wednesday makes it all but certain that the European Central Bank will announce a major round of economic stimulus next week after months of contentious internal debate  The agency taxpayer advocate warned that staff reductions and new filing requirements could make it harder than ever to get an answer on the phoneServices to taxpayers are likely to drop to their worst levels since  when the Internal Revenue Service first started measuring its performance the agency taxpayer advocate said in her annual report released on Wednesday,Income Tax States US Institute on Taxation and Economic Policy Income Inequality Sales and Excise Taxes Tax Credits Deductions and Exemptions  Quantitative Easing European Central Bank Draghi Mario Germany Credit and Debt Federal Reserve System Europe Frankfurt Germany Greece  Internal Revenue Service Taxpayer Advocate Service Olson Nina E Federal Taxes US Taxation,,,,,,,,
The New York Times,1/15/2015,Caesars Unit Files for Chapter  Bankruptcy Protection  Citigroup Profit Plunges on Weak Trading and Legal Costs  Seeking Luxury Deals as Euro Falls,TPG and Apollo Global Management are hoping to use the bankruptcy to salvage as much as they can but they are facing opposition from some of Wall Street biggest investorsThe casino operator Caesars Entertainment was locked in a bitter standoff with some creditors on Thursday after it put its largest unit into bankruptcy  The bank said profit fell to  million from  billion in the period a year earlier weighed down by large legal charges and a greater than expected drop in trading revenueA steeper than expected trading slowdown dented Citigroup earnings in the fourth quarter contributing to the bank failure to meet analysts profit expectations and raising a fresh round of questions about the future of the Wall Street trading machine  It turns out that retail pricing especially for luxury brands with fat profit margins is far more complicated than just looking up exchange ratesThe strong dollar and threat of deflation may be wreaking havoc on European economies but as an American consumer it has made me feel flush,Bankruptcies Casinos Private Equity Apollo Global Management Caesars Entertainment Corporation TPG Capital  Banking and Financial Institutions Company Reports Corbat Michael L Gerspach John C Citigroup Inc  International Trade and World Market Luxury Goods and Services Shopping and Retail Euro Currency US Dollar Currency MercedesBenz Porsche AG SherryLehmann Wine and Spirits France United States Barneys New York,,,,,,,,
The New York Times,1/16/2015,There is no available news today,Today there is no publication in this section,No noteworthy summary for today,,,,,,,,
The New York Times,1/19/2015,Recipient of Artificial Heart Goes Home  Nickelodeon Remixes Its Sitcom Formula to Adapt to Children Media Consumption,The news reported by Carmat the French company that developed the device signals a milestone toward its possible commercializationPARIS A patient who received an artificial heart in August has recovered sufficiently to return home the French company that makes the device said on Monday signaling a milestone toward the possible commercialization of the device  In an effort to counter ratings declines and children changing tastes the network has introduced shows that have more nuance and sophisticationLOS ANGELES Buffoonish parents Voiceofreason best friend Laugh track Extrabright lighting Nifty girl bedroom with window seat,Heart Transplants Carmat France Medical Devices Heart Artificial  Nickelodeon Television Children and Childhood  Things to Do Before High School TV Program Bella and the Bulldogs TV Program Hicks Russell,,,,,,,,
The New York Times,1/20/2015,Fallout Builds From Ruling on Insider Trading  Abandoning the Lollipop Ship  Tempering a Worldview With Freedom and Fairness  Sycamore Partners Ends Effort to Acquire Express a Clothing Retailer,A court reversal of two insider trading convictions has been the equivalent of dropping a big rock into a calm lake as the waves spread to other cases Peter J Henning writes in the White Collar Watch columnAn appeals court decision in December that reversed the insider trading convictions of two hedge fund managers has been the equivalent of dropping a big rock into a calm lake as the waves keep spreading to other cases The Justice Department is fighting to minimize the impact of the opinion which raised the bar on what the government must show to establish a violation for trading on confidential information  Also how to set up a hybrid network of wired and wireless connectionsAbandoning  Free enterprise and globalization are the cornerstones of the worldview at the World Economic Forum in Davos Switzerland but there should be a dose of fairness as wellHow is it possible to construct a freemarket economy that is also fair That should be the central question for this year annual gathering of the global elite at the World Economic Forum in Davos Switzerland  The private equity firm Sycamore Partners said on Tuesday that it could not get deal financing on favorable terms and shares of Express tumbled on the newsThe private equity firm Sycamore Partners has given up a monthslong effort to acquire Express the clothing retailer focused on young adults after failing to secure financing,Insider Trading Justice Department Securities and Exchange Commission Supreme Court US  Biersdorfer J D Android Operating System Computers and the Internet Wireless Communications  Income Inequality Income World Economic Forum  Fashion and Apparel Mergers Acquisitions and Divestitures Shopping and Retail Express Inc Sycamore Partners,,,,,,,,
The New York Times,1/21/2015,Best Twitter Ad Practices Include Narrow Targets Videos and Brevity,Smallbusiness owners discuss the tactics that work on the social media network advertising platformMore than four years after introducing advertising on its platform Twitter has changed the way businesses create ads And as with any game in which the rules have shifted players adapt by developing new strategies,Small Business Twitter Advertising and Marketing Online Advertising Social Media,,,,,,,,
The New York Times,1/22/2015,ECB Stimulus Calls for  Billion Euros in Monthly BondBuying  Too Big to Fail on Financial Regulators Agenda Again  The Powers and Limits of ECB Stimulus as Viewed From Davos,The program worth about  billion a month is more than analysts had been expecting as the European Central Bank tries to fend off stagnationFRANKFURT The European Central Bank said on Thursday that it would begin buying hundreds of billions of euros worth of government bonds in an aggressive though some say belated attempt to prevent the eurozone from becoming trapped in longterm economic stagnation  Top financial regulators addressed the process of determining what companies are systemically important shadowed by MetLife legal challenge to that designationTop financial regulators on Wednesday discussed ways to improve how socalled toobigtofail institutions are singled out for closer supervision but they stopped well short of reversing any designations made so far  Policy makers and bankers at the World Economic Forum warned that the European Central Bank bond buying move would not be enough to jumpstart anemic growthDAVOS Switzerland As investors on Thursday awaited a decision by theEuropean Central Bank on whether to begin buying up loads of eurozone government bonds socalled quantitative easing policy makers and bankers in Davos warned that the move would not be enough to jumpstart Europe anemic growth,European Central Bank Quantitative Easing Government Bonds  DoddFrank Wall Street Reform and Consumer Protection Act  Insurance Financial Institutions Inc  Banking and Financial Institutions Euro Currency International Trade and World Market Botin Ana Patricia Cohn Gary D Dalio Ray Lagarde Christine Summers Lawrence H European Central Bank Federal Reserve System Goldman Sachs Group Inc International Monetary Fund Davos Switzerland Europe,,,,,,,,
